event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,1,984.0,43.0,1,5,1.0,39304.66460068551,1271.82470703125
1,1,983.0,38.0,1,5,1.0,39304.66460068551,1295.039306640625
2,2,980.65,41.45,2,10,5.5,216175.6553037703,1316.095458984375
3,2,238.5,175.0,2,10,1.0,39304.66460068551,1323.8822021484375
4,1,241.0,170.5,1,5,2.0,78609.32920137102,1278.88720703125
5,1,239.0,172.0,1,5,1.0,39304.66460068551,1269.1434326171875
6,3,238.66666666666666,171.5,3,15,1.3333333333333333,52406.219467580675,1301.89990234375
7,2,238.0,175.75,2,10,1.5,58956.996901028266,1302.7591552734375
8,3,1536.6666666666667,216.33333333333334,3,15,1.0,39304.66460068551,1298.2576904296875
9,1,1533.0,214.0,1,5,1.0,39304.66460068551,1272.2548828125
10,2,1548.3333333333335,289.66666666666663,2,10,2.0,78609.32920137102,1326.8399658203125
11,15,1551.1747474747474,286.78878787878784,15,75,8.8,345881.0484860325,1331.8935546875
12,1,1550.3333333333333,287.6666666666667,1,5,3.0,117913.99380205652,1275.834716796875
13,5,1553.8166666666666,289.29,5,25,4.6,180801.45716315336,1330.171142578125
14,1,1550.5,288.0,1,5,2.0,78609.32920137102,1318.76513671875
15,5,1545.0333333333333,288.8666666666667,5,25,2.0,78609.32920137103,1324.951171875
16,1,1400.0,606.0,1,5,1.0,39304.66460068551,1284.3875732421875
17,8,2020.5843854427735,795.0203190267335,8,40,12.875,506047.55673382594,1335.436767578125
18,1,2022.0,792.0,1,5,1.0,39304.66460068551,1301.5648193359375
19,9,2020.5878306878305,796.3883597883599,9,45,4.111111111111111,161585.84335837376,1336.451416015625
20,7,2022.1258168685533,794.7291079508725,7,35,23.285714285714285,915237.1899873912,1336.09423828125
21,3,96.33333333333333,1014.8333333333334,3,15,1.3333333333333333,52406.219467580675,1292.935791015625
22,1,677.0,1055.0,1,5,1.0,39304.66460068551,1295.44384765625
23,2,680.1666666666667,1056.3333333333335,2,10,2.0,78609.32920137102,1310.818115234375
24,1,680.5,1054.0,1,5,2.0,78609.32920137102,1313.6226806640625
25,1,678.875,1051.75,1,5,8.0,314437.31680548406,1315.392333984375
26,19,677.1025405681215,1058.2335260290276,19,95,32.31578947368421,1270161.266569521,1319.9415283203125
27,11,680.8957510416915,1057.415017564692,11,55,38.63636363636363,1518589.3141173944,1322.930908203125
28,1,1686.03125,1291.40625,1,5,32.0,1257749.2672219365,1314.3212890625
29,18,1688.300525323442,1290.795881202131,18,90,10.277777777777779,403964.6083959344,1318.0859375
30,3,1688.888888888889,1291.6666666666667,3,15,1.6666666666666667,65507.77433447584,1313.709228515625
31,3,1689.2777777777776,1293.5,3,15,4.333333333333333,170320.2132696372,1313.6661376953125
32,9,1689.2509259259261,1292.7961279461279,9,45,6.555555555555555,257663.91238227166,1318.873291015625
33,1,1693.428571428571,1290.7142857142858,1,5,7.0,275132.65220479853,1313.06640625
34,3,1690.9185185185186,1290.0962962962965,3,15,8.333333333333334,327538.87167237926,1314.4813232421875
35,3,447.02777777777777,1398.5277777777776,3,15,5.333333333333333,209624.8778703227,1338.716064453125
36,1,448.0,1396.0,1,5,1.0,39304.66460068551,1273.833251953125
37,1,534.0,1427.0,1,5,1.0,39304.66460068551,1338.0069580078125
38,29,533.9333333333334,1423.864367816092,29,145,2.586206896551724,101649.99465694527,1347.355224609375
39,1,533.0,1427.0,1,5,1.0,39304.66460068551,1277.84130859375
40,1,535.0,1424.0,1,5,1.0,39304.66460068551,1299.9005126953125
41,1,716.4285714285714,1480.3809523809523,1,5,21.0,825397.9566143957,1318.77490234375
42,21,717.7731736268776,1477.867720302469,21,105,29.857142857142858,1173524.9859347532,1327.2711181640625
43,4,715.2696428571428,1481.8107142857143,4,20,5.75,226001.8214539417,1321.7059326171875
44,4,717.4166666666666,1480.5833333333333,4,20,2.0,78609.32920137102,1310.6622314453125
45,6,712.9337606837607,1484.7827635327637,6,30,7.833333333333333,307886.5393720364,1323.799560546875
46,1,258.05263157894734,1587.2368421052631,1,5,38.0,1493577.254826049,1333.442626953125
47,8,1318.50625,1934.0854166666668,8,40,3.75,147392.49225257066,1319.825439453125
48,1,1319.0,1932.0,1,5,1.0,39304.66460068551,1280.3265380859375
49,1,1319.0,1935.0,1,5,1.0,39304.66460068551,1302.4122314453125
50,2,1323.25,1929.0,2,10,1.5,58956.996901028266,1305.5419921875
51,1,673.5625,1942.0,1,5,16.0,628874.6336109681,1327.260986328125
52,4,675.4144345238095,1936.985863095238,4,20,18.5,727136.2951126819,1326.269775390625
53,1,675.8823529411765,1936.1176470588236,1,5,17.0,668179.2982116536,1325.2442626953125
54,3,674.5708061002179,1942.2004357298474,3,15,17.333333333333332,681280.8530785488,1328.475830078125
55,1,675.2222222222222,1945.3333333333333,1,5,18.0,707483.9628123392,1328.808349609375
56,10,674.5594044844045,1944.440157065157,10,50,7.7,302645.91742527846,1328.4720458984375
57,1,533.0,61.5,1,5,2.0,78609.32920137102,1325.582275390625
58,4,535.125,59.0,4,20,1.25,49130.83075085688,1356.856201171875
59,1,534.5,58.5,1,5,2.0,78609.32920137102,1290.2969970703125
60,11,534.1954545454545,60.33560606060607,11,55,4.090909090909091,160791.80973007705,1356.5081787109375
61,3,633.9583333333334,541.2361111111112,3,15,9.333333333333334,366843.53627306473,1329.2581787109375
62,1,633.5,543.0,1,5,2.0,78609.32920137102,1324.145263671875
63,4,631.5,539.75,4,20,1.0,39304.66460068551,1311.505126953125
64,1,109.66666666666669,1044.878787878788,1,5,33.0,1297053.9318226215,1312.693603515625
65,6,110.12669825964565,1041.7092364107136,6,30,25.333333333333332,995718.1698840329,1312.6796875
66,1,109.61111111111111,1042.7222222222222,1,5,18.0,707483.9628123392,1312.017333984375
67,1,108.7,1044.55,1,5,20.0,786093.2920137101,1306.01220703125
68,2,109.22359913793103,1043.0953663793102,2,10,30.5,1198792.2703209082,1313.3544921875
69,20,109.72302791461411,1043.8879261220945,20,100,16.75,658353.1320614823,1319.29541015625
70,1,110.0,1038.0,1,5,1.0,39304.66460068551,1301.20361328125
71,1,1524.8333333333333,179.41666666666666,1,5,12.0,471655.9752082261,1315.0565185546875
72,1,1524.0666666666666,182.86666666666667,1,5,15.0,589569.9690102827,1331.83935546875
73,1,1525.0,180.57142857142856,1,5,14.0,550265.3044095971,1315.715576171875
74,2,1524.1772727272728,182.5318181818182,2,10,10.5,412698.97830719786,1333.176025390625
75,3,1523.2698412698412,185.68452380952382,3,15,8.0,314437.31680548406,1314.97607421875
76,3,1564.8333333333333,183.33333333333334,3,15,1.3333333333333333,52406.219467580675,1279.4285888671875
77,1,1567.0,189.0,1,5,1.0,39304.66460068551,1281.91455078125
78,1,1566.0,187.0,1,5,1.0,39304.66460068551,1279.8258056640625
79,1,1566.0,188.0,1,5,1.0,39304.66460068551,1302.4990234375
80,1,1567.0,189.0,1,5,1.0,39304.66460068551,1292.9383544921875
81,1,1564.0,186.0,1,5,1.0,39304.66460068551,1286.181396484375
82,2,1570.0,193.25,2,10,1.5,58956.996901028266,1297.244140625
83,1,1565.0,193.0,1,5,1.0,39304.66460068551,1273.07861328125
84,1,1564.0,180.0,1,5,1.0,39304.66460068551,1282.09375
85,1,1561.5,185.0,1,5,2.0,78609.32920137102,1276.4683837890625
86,2,1561.9166666666665,180.66666666666669,2,10,2.5,98261.66150171377,1314.3861083984375
