event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,6,533.9551767676768,59.855429292929294,6,30,7.5,294784.9845051413,1356.856201171875
1,2,535.175,58.8,2,10,4.5,176870.9907030848,1263.615234375
2,10,534.4130772005772,60.27075757575757,10,50,8.2,322298.24972562114,1356.5081787109375
3,3,256.39481481481477,168.66222222222223,3,15,19.333333333333332,759890.1822799197,1321.633056640625
4,17,256.8770141560461,167.79926945202632,17,85,15.588235294117647,612690.3599518624,1316.4525146484375
5,3,254.6,170.13333333333333,3,15,4.333333333333333,170320.2132696372,1316.5771484375
6,1,1522.4827586206898,185.3448275862069,1,5,30.0,1179139.9380205653,1304.0849609375
7,2,1525.5325203252032,179.87992495309567,2,10,40.0,1572186.5840274203,1315.9271240234375
8,2,1524.932123655914,182.94220430107526,2,10,27.5,1080878.2765188515,1333.18798828125
9,5,1523.2940983227297,186.03381607865816,5,25,23.4,919729.1516560409,1314.97607421875
10,6,1523.8271613190734,185.99431818181816,6,30,15.166666666666666,596120.7464437302,1318.8525390625
11,1,1525.0,187.5,1,5,4.0,157218.65840274203,1212.3385009765625
12,1,1525.6666666666667,183.0,1,5,9.0,353741.9814061696,1242.3458251953125
13,1,1527.8,179.93333333333334,1,5,15.0,589569.9690102827,1236.088134765625
14,1,1525.0,186.05882352941177,1,5,17.0,668179.2982116536,1260.552490234375
15,1,1526.321428571429,180.28571428571428,1,5,28.0,1100530.608819194,1267.5323486328125
16,3,1529.8388888888887,179.94000000000003,3,15,26.333333333333332,1035022.8344847184,1319.2315673828125
17,3,1527.4416666666666,179.05555555555554,3,15,6.333333333333333,248929.54247100823,1254.7982177734375
18,1,535.7142857142857,301.42857142857144,1,5,7.0,275132.65220479853,1300.85009765625
19,11,536.6640873980447,296.88755469129796,11,55,9.727272727272727,382327.1920248499,1326.3489990234375
20,2,535.2785714285715,297.26428571428573,2,10,12.0,471655.9752082261,1295.101806640625
21,2,531.9326923076924,300.5801282051282,2,10,12.5,491308.30750856886,1276.216552734375
22,6,536.0936177248678,295.4231150793651,6,30,11.0,432351.3106075406,1316.1474609375
23,1,535.1818181818181,294.0,1,5,11.0,432351.3106075406,1271.608154296875
24,10,213.60690832473338,375.08184751093415,10,50,13.6,534543.4385693229,1312.744384765625
25,1,212.5,375.0,1,5,4.0,157218.65840274203,1236.7908935546875
26,2,210.51428571428573,377.2714285714286,2,10,6.0,235827.98760411306,1245.8343505859375
27,2,215.175,376.475,2,10,4.5,176870.9907030848,1272.7584228515625
28,3,213.5666666666667,376.1333333333334,3,15,5.0,196523.32300342756,1298.9139404296875
29,11,632.9044832802243,541.2656059684716,11,55,14.363636363636363,564557.9097189374,1337.9183349609375
30,2,629.625,540.125,2,10,4.0,157218.65840274203,1264.4737548828125
31,1,910.25,577.5,1,5,4.0,157218.65840274203,1206.3956298828125
32,8,2020.5487190988836,795.0302267743223,8,40,18.625,732049.3781877676,1335.436767578125
33,8,2020.359153693529,796.9054086538463,8,40,9.875,388133.5629317694,1336.451416015625
34,9,2021.8034724282415,794.9228773631128,9,45,26.77777777777778,1052491.5743072452,1336.09423828125
35,2,1948.8968253968255,1139.845238095238,2,10,19.5,766440.9597133675,1276.765625
36,1,1952.2666666666669,1134.2666666666669,1,5,15.0,589569.9690102827,1282.2344970703125
37,1,1950.857142857143,1134.0,1,5,14.0,550265.3044095971,1254.310546875
38,4,1950.0855769230768,1135.6785256410258,4,20,12.5,491308.30750856886,1269.5537109375
39,3,1948.8095238095239,1137.383597883598,3,15,10.0,393046.646006855,1294.39501953125
40,1,1951.2727272727277,1135.7272727272727,1,5,22.0,864702.6212150812,1286.908203125
41,1,1950.75,1134.0,1,5,8.0,314437.31680548406,1262.70654296875
42,1,1951.2,1136.8,1,5,5.0,196523.32300342756,1211.551513671875
43,1,546.0,1187.111111111111,1,5,9.0,353741.9814061696,1225.206787109375
44,7,551.3728458049887,1184.4396825396827,7,35,10.285714285714286,404276.5501784795,1296.584228515625
45,1,550.75,1187.25,1,5,8.0,314437.31680548406,1246.0198974609375
46,2,551.1428571428571,1185.142857142857,2,10,7.0,275132.65220479853,1262.8948974609375
47,1,551.25,1189.5,1,5,4.0,157218.65840274203,1225.77294921875
48,2,548.1,1184.425,2,10,4.5,176870.9907030848,1233.7452392578125
49,2,551.0833333333333,1185.75,2,10,6.0,235827.98760411303,1242.14794921875
50,24,717.4370874993816,1478.2159535517196,24,120,34.666666666666664,1362561.7061570976,1327.2711181640625
51,4,715.2083333333334,1481.8208333333332,4,20,8.25,324263.4829556555,1321.7059326171875
52,1,719.0,1478.25,1,5,4.0,157218.65840274203,1310.6622314453125
53,7,712.8235712466804,1485.143199097821,7,35,10.0,393046.6460068551,1323.799560546875
54,11,1154.4594797945276,1517.0991735537189,11,55,11.818181818181818,464509.672553556,1317.78076171875
55,3,1155.3999999999999,1517.8666666666668,3,15,5.0,196523.32300342756,1314.4921875
56,11,1153.686147186147,1518.982683982684,11,55,6.090909090909091,239401.13893144808,1314.993896484375
57,2,1157.55,1516.85,2,10,4.5,176870.9907030848,1317.45458984375
58,3,1512.4285714285713,1573.8095238095236,3,15,7.0,275132.65220479853,1272.9940185546875
59,5,1513.167142857143,1572.5228571428572,5,25,6.6,259410.7863645244,1305.5848388671875
60,3,1512.7357142857143,1571.2095238095237,3,15,5.333333333333333,209624.8778703227,1295.6768798828125
61,4,1511.35,1572.69375,4,20,5.5,216175.6553037703,1308.68212890625
62,7,259.4594039621613,1583.7893361933584,7,35,65.85714285714286,2588492.9115594313,1339.4842529296875
63,2,262.5,1595.5,2,10,4.0,157218.65840274203,1318.584228515625
64,1,261.5,1589.5,1,5,4.0,157218.65840274203,1184.4599609375
65,1,259.5,1594.0,1,5,4.0,157218.65840274203,1283.09765625
66,1,1747.428571428571,1829.142857142857,1,5,7.0,275132.65220479853,1241.248291015625
67,2,1008.25,1884.05,2,10,4.5,176870.9907030848,1213.7891845703125
68,3,1009.2658730158729,1881.849206349206,3,15,5.666666666666667,222726.43273721787,1294.8681640625
69,1,1009.5,1882.0,1,5,4.0,157218.65840274203,1204.059326171875
70,1,1010.1666666666666,1882.1666666666667,1,5,6.0,235827.98760411303,1245.074951171875
71,1,1008.6666666666666,1884.0,1,5,6.0,235827.98760411303,1241.6885986328125
72,1,1009.0,1881.25,1,5,4.0,157218.65840274203,1213.651611328125
73,8,1318.5982142857142,1934.1183035714287,8,40,5.25,206349.4891535989,1319.825439453125
74,5,674.9612812695434,1938.5216799562227,5,25,38.4,1509299.1206663235,1327.260986328125
75,3,675.4196933557399,1939.074601109485,3,15,42.0,1650795.9132287912,1326.5966796875
76,1,675.3018867924528,1943.1132075471696,1,5,53.0,2083147.223836332,1326.59130859375
77,1,674.2075471698113,1944.018867924528,1,5,53.0,2083147.223836332,1326.582275390625
78,1,675.1063829787234,1941.340425531915,1,5,47.0,1847319.2362322188,1326.4566650390625
79,1,674.9428571428572,1945.3428571428567,1,5,35.0,1375663.261023993,1328.45849609375
80,12,674.7968071504331,1944.4078423972244,12,60,18.75,736962.4612628535,1328.4720458984375
81,2,669.875,1976.4,2,10,4.5,176870.9907030848,1242.15673828125
82,1,670.4,1971.8,1,5,5.0,196523.32300342756,1299.9415283203125
83,2,670.8671328671328,1972.5454545454545,2,10,12.0,471655.9752082261,1248.7744140625
84,1,672.0,1969.3703703703704,1,5,27.0,1061225.944218509,1312.3087158203125
85,1,671.5416666666666,1970.9166666666667,1,5,24.0,943311.9504164524,1303.504638671875
